TF	 Summit ID	Chromosome	Summit start	Summit end	TSS start	TSS strand	GeneID	Distance to TSS from summit center	Motif coincidence
PIF1	1268	Chr2	18963049	18963050	18963083	+	AT2G46160	33	PBE
PIF1	1270	Chr2	18981421	18981422	18981911	+	AT2G46225	489	G&PBE
PIF1	1271	Chr2	18999356	18999357	19000191	+	AT2G46270	834	PBE
PIF1	1272	Chr2	19007953	19007954	19007878	-	AT2G46290	74	G
PIF1	1272	Chr2	19007953	19007954	19008291	+	AT2G46300	337	G
PIF1	1274	Chr2	19019988	19019989	19019254	-	AT2G46330	733	PBE
PIF1	1275	Chr2	19027892	19027893	19027412	-	AT2G46340	479	G
PIF1	1275	Chr2	19027892	19027893	19028488	+	AT2G46360	595	G
PIF1	1277	Chr2	19052089	19052090	19050340	-	AT2G46410	1748	G
PIF1	1277	Chr2	19052089	19052090	19053686	+	AT2G46420	1596	G
PIF1	1281	Chr2	19148600	19148601	19148662	+	AT2G46640	61	PBE
PIF1	1282	Chr2	19168868	19168869	19166948	-	AT2G46680	1919	G
PIF1	1286	Chr2	19190724	19190725	19186577	-	AT2G46700	4146	G
PIF1	1286	Chr2	19190724	19190725	19191935	+	AT2G46710	1210	G
PIF1	1287	Chr2	19191394	19191395	19186577	-	AT2G46700	4816	PBE
PIF1	1287	Chr2	19191394	19191395	19191935	+	AT2G46710	540	PBE
PIF1	1288	Chr2	19225774	19225775	19222915	-	AT2G46770	2858	G
PIF1	1288	Chr2	19225774	19225775	19229293	+	AT2G46780	3518	G
PIF1	1289	Chr2	19227821	19227822	19222915	-	AT2G46770	4905	PBE
PIF1	1289	Chr2	19227821	19227822	19229293	+	AT2G46780	1471	PBE
PIF1	1290	Chr2	19237404	19237405	19237434	+	AT2G46800	29	G
PIF1	1292	Chr2	19299067	19299068	19297825	-	AT2G46970	1241	G
PIF1	1295	Chr2	19335523	19335524	19335030	-	AT2G47060	492	PBE
PIF1	1295	Chr2	19335523	19335524	19336695	+	AT2G47070	1171	PBE
PIF1	1297	Chr2	19362946	19362947	19361146	-	AT2G47160	1799	PBE
PIF1	1297	Chr2	19362946	19362947	19366623	+	AT2G47170	3676	PBE
PIF1	1298	Chr2	19412407	19412408	19412150	-	AT2G47270	256	PBE
PIF1	1298	Chr2	19412407	19412408	19415052	+	AT2G47275	2644	PBE
PIF1	1299	Chr2	19433732	19433733	19433791	+	AT2G47350	58	G
PIF1	1302	Chr2	19491251	19491252	19492995	+	AT2G47500	1743	G
PIF1	1304	Chr2	19568462	19568463	19568264	-	AT2G47760	197	G
PIF1	1304	Chr2	19568462	19568463	19568464	+	AT2G47770	1	G
PIF1	1305	Chr2	19569833	19569834	19570049	+	AT2G47780	215	G
PIF1	1306	Chr2	19643926	19643927	19644100	+	AT2G48020	173	G&PBE
PIF1	1311	Chr3	193600	193601	193536	-	AT3G01490	63	G&PBE
PIF1	1312	Chr3	204572	204573	202739	-	AT3G01513	1832	G
PIF1	1312	Chr3	204572	204573	207336	+	AT3G01516	2763	G
PIF1	1313	Chr3	206720	206721	202739	-	AT3G01513	3980	PBE
PIF1	1313	Chr3	206720	206721	207336	+	AT3G01516	615	PBE
PIF1	1314	Chr3	219556	219557	219053	-	AT3G01550	502	PBE
PIF1	1314	Chr3	219556	219557	219582	+	AT3G01560	25	PBE
PIF1	1316	Chr3	295591	295592	295457	-	AT3G01820	133	PBE
PIF1	1316	Chr3	295591	295592	296054	+	AT3G01830	462	PBE
PIF1	1318	Chr3	376626	376627	373721	-	AT3G02110	2904	G
PIF1	1318	Chr3	376626	376627	377097	+	AT3G02120	470	G
PIF1	1319	Chr3	386964	386965	386537	-	AT3G02140	426	G
PIF1	1319	Chr3	386964	386965	391057	+	AT3G02150	4092	G
PIF1	1320	Chr3	402515	402516	399778	-	AT3G02170	2736	PBE
PIF1	1320	Chr3	402515	402516	404733	+	AT3G02180	2217	PBE
PIF1	1321	Chr3	495359	495360	494947	-	AT3G02410	411	G
PIF1	1322	Chr3	517816	517817	516357	-	AT3G02493	1458	G
PIF1	1322	Chr3	517816	517817	519364	+	AT3G02500	1547	G
PIF1	1323	Chr3	538318	538319	537997	-	AT3G02550	320	G
PIF1	1324	Chr3	545759	545760	545594	-	AT3G02570	164	G
PIF1	1324	Chr3	545759	545760	546903	+	AT3G02580	1143	G
PIF1	1325	Chr3	546331	546332	545594	-	AT3G02570	736	G
PIF1	1325	Chr3	546331	546332	546903	+	AT3G02580	571	G
PIF1	1327	Chr3	673205	673206	672214	-	AT3G02980	990	G
PIF1	1327	Chr3	673205	673206	673472	+	AT3G02990	266	G
PIF1	1328	Chr3	673272	673273	672214	-	AT3G02980	1057	G
PIF1	1328	Chr3	673272	673273	673472	+	AT3G02990	199	G
PIF1	1331	Chr3	740628	740629	738526	-	AT3G03200	2101	G
PIF1	1331	Chr3	740628	740629	740770	+	AT3G03210	141	G
PIF1	1332	Chr3	754218	754219	754158	-	AT3G03250	59	G
PIF1	1333	Chr3	907377	907378	903410	-	AT3G03670	3966	G
PIF1	1333	Chr3	907377	907378	907500	+	AT3G03680	122	G
PIF1	1335	Chr3	961825	961826	961997	+	AT3G03790	171	G&PBE
PIF1	1344	Chr3	1288228	1288229	1287096	-	AT3G04721	1131	PBE
PIF1	1346	Chr3	1341055	1341056	1340622	-	AT3G04860	432	G
PIF1	1346	Chr3	1341055	1341056	1342608	+	AT3G04870	1552	G
PIF1	1347	Chr3	1358593	1358594	1360882	+	AT3G04920	2288	PBE
PIF1	1348	Chr3	1393041	1393042	1392953	-	AT3G05020	87	G&PBE
PIF1	1350	Chr3	1435591	1435592	1435378	-	AT3G05130	212	G
PIF1	1351	Chr3	1457159	1457160	1457149	-	AT3G05160	9	G
PIF1	1357	Chr3	1759668	1759669	1758491	-	AT3G05890	1176	G&PBE
PIF1	1357	Chr3	1759668	1759669	1760905	+	AT3G05905	1236	G&PBE
PIF1	1358	Chr3	1768513	1768514	1767619	-	AT3G05910	893	PBE
PIF1	1360	Chr3	1800634	1800635	1799869	-	AT3G05990	764	PBE
PIF1	1360	Chr3	1800634	1800635	1801446	+	AT3G06000	811	PBE
PIF1	1361	Chr3	1831994	1831995	1831922	-	AT3G06070	71	PBE
PIF1	1363	Chr3	1848797	1848798	1848848	+	AT3G06125	50	G
PIF1	1366	Chr3	2083355	2083356	2083290	-	AT3G06650	64	G
PIF1	1366	Chr3	2083355	2083356	2083394	+	AT3G66652	38	G
PIF1	1368	Chr3	2138289	2138290	2137227	-	AT3G06770	1061	PBE
PIF1	1369	Chr3	2143458	2143459	2141532	-	AT3G06778	1925	G
PIF1	1369	Chr3	2143458	2143459	2143488	+	AT3G06780	29	G
PIF1	1370	Chr3	2167667	2167668	2167730	+	AT3G06868	62	G
PIF1	1371	Chr3	2321308	2321309	2321214	-	AT3G07280	93	PBE
PIF1	1372	Chr3	2346135	2346136	2343469	-	AT3G07340	2665	G
PIF1	1372	Chr3	2346135	2346136	2347468	+	AT3G07350	1332	G
PIF1	1375	Chr3	2352937	2352938	2354719	+	AT3G07360	1781	G
PIF1	1379	Chr3	2364111	2364112	2362013	-	AT3G07380	2097	G
PIF1	1379	Chr3	2364111	2364112	2365301	+	AT3G07390	1189	G
PIF1	1381	Chr3	2475610	2475611	2476367	+	AT3G07760	756	G
PIF1	1384	Chr3	2562950	2562951	2561801	-	AT3G08020	1148	PBE
PIF1	1384	Chr3	2562950	2562951	2564033	+	AT3G08030	1082	PBE
PIF1	1386	Chr3	2620731	2620732	2620832	+	AT3G08630	100	G
PIF1	1387	Chr3	2633243	2633244	2633728	+	AT3G08670	484	PBE
PIF1	1389	Chr3	2651230	2651231	2651159	-	AT3G08720	70	G
PIF1	1390	Chr3	2662053	2662054	2662011	-	AT3G08762	41	G
PIF1	1391	Chr3	2706389	2706390	2706277	-	AT3G08885	111	G
PIF1	1391	Chr3	2706389	2706390	2706632	+	AT3G08890	242	G
PIF1	1393	Chr3	2844661	2844662	2843780	-	AT3G09260	880	PBE
PIF1	1394	Chr3	2851542	2851543	2851257	-	AT3G09280	284	G
PIF1	1394	Chr3	2851542	2851543	2854280	+	AT3G09285	2737	G
PIF1	1395	Chr3	2870789	2870790	2870525	-	AT3G09340	263	PBE
PIF1	1395	Chr3	2870789	2870790	2871045	+	AT3G09350	255	PBE
PIF1	1396	Chr3	2923518	2923519	2923743	+	AT3G09520	224	G
PIF1	1398	Chr3	2971641	2971642	2970370	-	AT3G09680	1270	G
PIF1	1398	Chr3	2971641	2971642	2971873	+	AT3G09690	231	G
PIF1	1399	Chr3	2983866	2983867	2983617	-	AT3G09720	248	PBE
PIF1	1399	Chr3	2983866	2983867	2983934	+	AT3G09730	67	PBE
PIF1	1401	Chr3	3065689	3065690	3067683	+	AT3G09975	1993	G&PBE
PIF1	1402	Chr3	3173045	3173046	3172965	-	AT3G10260	79	G
PIF1	1403	Chr3	3238922	3238923	3238401	-	AT3G10415	520	G
PIF1	1403	Chr3	3238922	3238923	3239180	+	AT3G10420	257	G
PIF1	1404	Chr3	3428999	3429000	3426996	-	AT3G10960	2002	G
PIF1	1405	Chr3	3437554	3437555	3438278	+	AT3G10980	723	PBE
PIF1	1406	Chr3	3441634	3441635	3442528	+	AT3G10985	893	G&PBE
PIF1	1407	Chr3	3459930	3459931	3459379	-	AT3G11030	550	PBE
PIF1	1407	Chr3	3459930	3459931	3460143	+	AT3G11040	212	PBE
PIF1	1411	Chr3	3620935	3620936	3619566	-	AT3G11490	1368	G
PIF1	1414	Chr3	3697922	3697923	3698839	+	AT3G11700	916	G
PIF1	1416	Chr3	3722743	3722744	3722657	-	AT3G11770	85	G
PIF1	1418	Chr3	3770597	3770598	3770562	-	AT3G11910	34	G
PIF1	1418	Chr3	3770597	3770598	3772311	+	AT3G11920	1713	G
PIF1	1419	Chr3	3776209	3776210	3776237	+	AT3G11930	27	G&PBE
PIF1	1421	Chr3	3863727	3863728	3863049	-	AT3G12120	677	G&PBE
PIF1	1422	Chr3	3923406	3923407	3923154	-	AT3G12300	251	G
PIF1	1422	Chr3	3923406	3923407	3923735	+	AT3G12320	328	G
PIF1	1423	Chr3	4004420	4004421	4003656	-	AT3G12590	763	G
PIF1	1423	Chr3	4004420	4004421	4004512	+	AT3G12600	91	G
PIF1	1427	Chr3	4084137	4084138	4083368	-	AT3G12835	768	PBE
PIF1	1428	Chr3	4084189	4084190	4083368	-	AT3G12835	820	PBE
PIF1	1430	Chr3	4124450	4124451	4123507	-	AT3G12920	942	G
PIF1	1430	Chr3	4124450	4124451	4128407	+	AT3G12930	3956	G
PIF1	1432	Chr3	4176478	4176479	4176511	+	AT3G13050	32	PBE
PIF1	1434	Chr3	4313774	4313775	4311440	-	AT3G13310	2333	PBE
PIF1	1434	Chr3	4313774	4313775	4314529	+	AT3G13320	754	PBE
PIF1	1435	Chr3	4340515	4340516	4340411	-	AT3G13360	103	PBE
PIF1	1435	Chr3	4340515	4340516	4341664	+	AT3G13370	1148	PBE
PIF1	1437	Chr3	4367050	4367051	4367181	+	AT3G13430	130	PBE
PIF1	1440	Chr3	4410083	4410084	4411168	+	AT3G13525	1084	PBE
PIF1	1441	Chr3	4441937	4441938	4445102	+	AT3G13600	3164	G
PIF1	1442	Chr3	4444488	4444489	4445102	+	AT3G13600	613	G
PIF1	1444	Chr3	4496202	4496203	4495955	-	AT3G13720	246	G
PIF1	1446	Chr3	4541686	4541687	4544364	+	AT3G13810	2677	G
PIF1	1449	Chr3	4578560	4578561	4578026	-	AT3G13890	533	G
PIF1	1452	Chr3	4616538	4616539	4614847	-	AT3G13970	1690	G
PIF1	1453	Chr3	4655829	4655830	4653913	-	AT3G14050	1915	G
PIF1	1456	Chr3	4723911	4723912	4720950	-	AT3G14205	2960	G
PIF1	1457	Chr3	4744933	4744934	4744116	-	AT3G14240	816	G
PIF1	1460	Chr3	4782593	4782594	4782451	-	AT3G14330	141	G
PIF1	1462	Chr3	4800739	4800740	4799503	-	AT3G14370	1235	G&PBE
PIF1	1463	Chr3	4833662	4833663	4833598	-	AT3G14440	63	G
PIF1	1467	Chr3	4846150	4846151	4849788	+	AT3G14450	3637	G
PIF1	1468	Chr3	4908104	4908105	4907992	-	AT3G14590	111	G
PIF1	1468	Chr3	4908104	4908105	4908948	+	AT3G14595	843	G
PIF1	1470	Chr3	4921976	4921977	4922131	+	AT3G14650	154	PBE
PIF1	1472	Chr3	4976023	4976024	4974533	-	AT3G14810	1489	G
PIF1	1472	Chr3	4976023	4976024	4978726	+	AT3G14820	2702	G
PIF1	1475	Chr3	5080789	5080790	5081780	+	AT3G15095	990	G
PIF1	1476	Chr3	5119822	5119823	5119059	-	AT3G15200	762	G
PIF1	1476	Chr3	5119822	5119823	5121422	+	AT3G15210	1599	G
PIF1	1482	Chr3	5242329	5242330	5243510	+	AT3G15510	1180	PBE
PIF1	1486	Chr3	5263853	5263854	5264024	+	AT3G15540	170	PBE
PIF1	1487	Chr3	5340008	5340009	5340074	+	AT3G15770	65	PBE
PIF1	1488	Chr3	5380945	5380946	5377178	-	AT3G15900	3766	G
PIF1	1488	Chr3	5380945	5380946	5381603	+	AT3G15909	657	G
PIF1	1490	Chr3	5433989	5433990	5433816	-	AT3G16000	172	G
PIF1	1490	Chr3	5433989	5433990	5434014	+	AT3G16010	24	G
PIF1	1491	Chr3	5445376	5445377	5445328	-	AT3G16050	47	G
PIF1	1491	Chr3	5445376	5445377	5447343	+	AT3G16060	1966	G
PIF1	1496	Chr3	5719067	5719068	5721020	+	AT3G16800	1952	PBE
PIF1	1497	Chr3	5731103	5731104	5729173	-	AT3G16820	1929	PBE
PIF1	1497	Chr3	5731103	5731104	5731534	+	AT3G16830	430	PBE
PIF1	1499	Chr3	5747509	5747510	5743143	-	AT3G16840	4365	PBE
PIF1	1499	Chr3	5747509	5747510	5748570	+	AT3G16850	1060	PBE
PIF1	1500	Chr3	5752894	5752895	5755821	+	AT3G16857	2926	PBE
PIF1	1502	Chr3	5834391	5834392	5837842	+	AT3G17110	3450	G
PIF1	1505	Chr3	5895046	5895047	5894445	-	AT3G17250	600	G
PIF1	1506	Chr3	5995631	5995632	5992911	-	AT3G17510	2719	G&PBE
PIF1	1507	Chr3	6014307	6014308	6015184	+	AT3G17580	876	PBE
PIF1	1508	Chr3	6086319	6086320	6086137	-	AT3G17770	181	G
PIF1	1508	Chr3	6086319	6086320	6086913	+	AT3G17780	593	G
PIF1	1510	Chr3	6099826	6099827	6101789	+	AT3G17830	1962	G
PIF1	1511	Chr3	6119545	6119546	6116457	-	AT3G17850	3087	G
PIF1	1511	Chr3	6119545	6119546	6119767	+	AT3G17860	221	G
PIF1	1512	Chr3	6119600	6119601	6116457	-	AT3G17850	3142	G
PIF1	1512	Chr3	6119600	6119601	6119767	+	AT3G17860	166	G
PIF1	1513	Chr3	6153780	6153781	6154363	+	AT3G17998	582	G
PIF1	1516	Chr3	6174204	6174205	6171723	-	AT3G18035	2480	G
PIF1	1516	Chr3	6174204	6174205	6174719	+	AT3G18040	514	G
PIF1	1518	Chr3	6346298	6346299	6343177	-	AT3G18485	3120	G&PBE
PIF1	1519	Chr3	6357871	6357872	6360135	+	AT3G18518	2263	G
PIF1	1520	Chr3	6435884	6435885	6435560	-	AT3G18710	323	G&PBE
PIF1	1522	Chr3	6457678	6457679	6457511	-	AT3G18750	166	G
PIF1	1528	Chr3	6632542	6632543	6632032	-	AT3G19170	509	G
PIF1	1528	Chr3	6632542	6632543	6632676	+	AT3G19180	133	G
PIF1	1529	Chr3	6651471	6651472	6650076	-	AT3G19200	1394	PBE
PIF1	1530	Chr3	6673648	6673649	6671518	-	AT3G19260	2129	G
PIF1	1531	Chr3	6678685	6678686	6676519	-	AT3G19270	2165	G
PIF1	1531	Chr3	6678685	6678686	6678719	+	AT3G19274	33	G
PIF1	1532	Chr3	6720042	6720043	6716098	-	AT3G19380	3943	G
PIF1	1532	Chr3	6720042	6720043	6722989	+	AT3G19390	2946	G
PIF1	1534	Chr3	6731359	6731360	6731376	+	AT3G19420	16	G
PIF1	1535	Chr3	6780433	6780434	6775847	-	AT3G19530	4585	G
PIF1	1535	Chr3	6780433	6780434	6780619	+	AT3G19540	185	G
PIF1	1540	Chr3	6805337	6805338	6804232	-	AT3G19580	1104	G
PIF1	1540	Chr3	6805337	6805338	6805631	+	AT3G19590	293	G
PIF1	1542	Chr3	6884384	6884385	6882314	-	AT3G19820	2069	G&PBE
PIF1	1543	Chr3	6902385	6902386	6901254	-	AT3G19850	1130	PBE
PIF1	1543	Chr3	6902385	6902386	6903833	+	AT3G19860	1447	PBE
PIF1	1546	Chr3	7063606	7063607	7063239	-	AT3G20250	366	G
PIF1	1547	Chr3	7096174	7096175	7093500	-	AT3G20340	2673	PBE
PIF1	1547	Chr3	7096174	7096175	7096348	+	AT3G20350	173	PBE
PIF1	1549	Chr3	7214097	7214098	7213298	-	AT3G20640	798	G
PIF1	1553	Chr3	7322746	7322747	7323683	+	AT3G20898	936	PBE
PIF1	1555	Chr3	7326280	7326281	7324669	-	AT3G20900	1610	G
PIF1	1555	Chr3	7326280	7326281	7326382	+	AT3G20910	101	G
PIF1	1556	Chr3	7502033	7502034	7501840	-	AT3G21320	192	G
PIF1	1557	Chr3	7503425	7503426	7501840	-	AT3G21320	1584	G
PIF1	1557	Chr3	7503425	7503426	7507240	+	AT3G21330	3814	G
PIF1	1560	Chr3	7629154	7629155	7629150	-	AT3G21670	3	PBE
PIF1	1561	Chr3	7635964	7635965	7633852	-	AT3G21680	2111	PBE
PIF1	1561	Chr3	7635964	7635965	7638663	+	AT3G21690	2698	PBE
PIF1	1562	Chr3	7643716	7643717	7644350	+	AT3G21700	633	PBE
PIF1	1563	Chr3	7648266	7648267	7648342	+	AT3G21710	75	PBE
PIF1	1566	Chr3	7703425	7703426	7703384	-	AT3G21865	40	G
PIF1	1568	Chr3	7873713	7873714	7874145	+	AT3G22270	431	PBE
PIF1	1569	Chr3	7911342	7911343	7912905	+	AT3G22380	1562	PBE
PIF1	1571	Chr3	7959461	7959462	7958019	-	AT3G22436	1441	PBE
PIF1	1571	Chr3	7959461	7959462	7959754	+	AT3G22440	292	PBE
PIF1	1572	Chr3	7989083	7989084	7984626	-	AT3G22540	4456	PBE
PIF1	1573	Chr3	8036122	8036123	8035808	-	AT3G22740	313	PBE
PIF1	1574	Chr3	8042732	8042733	8039902	-	AT3G22750	2829	G
PIF1	1574	Chr3	8042732	8042733	8044455	+	AT3G22760	1722	G
PIF1	1575	Chr3	8077237	8077238	8074137	-	AT3G22820	3099	G
PIF1	1575	Chr3	8077237	8077238	8078820	+	AT3G22830	1582	G
PIF1	1579	Chr3	8181957	8181958	8181799	-	AT3G23030	157	PBE
PIF1	1579	Chr3	8181957	8181958	8186080	+	AT3G23040	4122	PBE
PIF1	1580	Chr3	8182856	8182857	8181799	-	AT3G23030	1056	PBE
PIF1	1580	Chr3	8182856	8182857	8186080	+	AT3G23040	3223	PBE
PIF1	1581	Chr3	8194611	8194612	8194679	+	AT3G23050	67	G&PBE
PIF1	1582	Chr3	8197731	8197732	8200636	+	AT3G23060	2904	PBE
PIF1	1583	Chr3	8197785	8197786	8200636	+	AT3G23060	2850	PBE
PIF1	1584	Chr3	8290223	8290224	8290065	-	AT3G23230	157	G
PIF1	1588	Chr3	8500611	8500612	8499887	-	AT3G23637	723	G
PIF1	1588	Chr3	8500611	8500612	8501810	+	AT3G23640	1198	G
PIF1	1589	Chr3	8519013	8519014	8517789	-	AT3G23660	1223	G
PIF1	1589	Chr3	8519013	8519014	8519164	+	AT3G23670	150	G
PIF1	1590	Chr3	8531215	8531216	8531011	-	AT3G23690	203	PBE
PIF1	1593	Chr3	8593621	8593622	8589712	-	AT3G23810	3908	PBE
PIF1	1594	Chr3	8623259	8623260	8623161	-	AT3G23880	97	PBE
PIF1	1594	Chr3	8623259	8623260	8624750	+	AT3G23890	1490	PBE
PIF1	1595	Chr3	8640338	8640339	8639441	-	AT3G23910	896	G
PIF1	1595	Chr3	8640338	8640339	8641569	+	AT3G23920	1230	G
PIF1	1597	Chr3	8646171	8646172	8646892	+	AT3G23930	720	G
PIF1	1598	Chr3	8685490	8685491	8683288	-	AT3G24040	2201	G
PIF1	1598	Chr3	8685490	8685491	8685873	+	AT3G24050	382	G
PIF1	1599	Chr3	8701204	8701205	8700970	-	AT3G24090	233	G
PIF1	1602	Chr3	8923177	8923178	8923072	-	AT3G24503	104	G
PIF1	1603	Chr3	8924401	8924402	8923072	-	AT3G24503	1328	PBE
PIF1	1606	Chr3	8994005	8994006	8997370	+	AT3G24650	3364	G&PBE
PIF1	1607	Chr3	9025557	9025558	9024366	-	AT3G24710	1190	PBE
PIF1	1607	Chr3	9025557	9025558	9025849	+	AT3G24715	291	PBE
PIF1	1608	Chr3	9036205	9036206	9036268	+	AT3G24750	62	PBE
PIF1	1610	Chr3	9066339	9066340	9066840	+	AT3G24840	500	G
PIF1	1611	Chr3	9121359	9121360	9119539	-	AT3G25020	1819	PBE
PIF1	1611	Chr3	9121359	9121360	9122197	+	AT3G25030	837	PBE
PIF1	1613	Chr3	9213041	9213042	9213156	+	AT3G25400	114	G
PIF1	1616	Chr3	9315714	9315715	9313352	-	AT3G25610	2361	G
PIF1	1627	Chr3	9595916	9595917	9595242	-	AT3G26210	673	G
PIF1	1628	Chr3	9676502	9676503	9676564	+	AT3G26440	61	G
PIF1	1630	Chr3	9714113	9714114	9713185	-	AT3G26511	927	G&PBE
PIF1	1633	Chr3	9737547	9737548	9735540	-	AT3G26530	2006	G&PBE
PIF1	1634	Chr3	9842236	9842237	9842078	-	AT3G26750	157	G
PIF1	1634	Chr3	9842236	9842237	9843591	+	AT3G26760	1354	G
PIF1	1635	Chr3	9865389	9865390	9863899	-	AT3G26805	1489	PBE
PIF1	1635	Chr3	9865389	9865390	9867845	+	AT3G26810	2455	PBE
PIF1	1636	Chr3	9865451	9865452	9863899	-	AT3G26805	1551	PBE
PIF1	1636	Chr3	9865451	9865452	9867845	+	AT3G26810	2393	PBE
PIF1	1637	Chr3	9981485	9981486	9981294	-	AT3G27060	190	PBE
PIF1	1642	Chr3	10255771	10255772	10255289	-	AT3G27680	481	G
PIF1	1642	Chr3	10255771	10255772	10255947	+	AT3G27690	175	G
PIF1	1646	Chr3	10384187	10384188	10383091	-	AT3G27960	1095	G
PIF1	1647	Chr3	10515277	10515278	10514761	-	AT3G28193	515	PBE
PIF1	1647	Chr3	10515277	10515278	10518070	+	AT3G28200	2792	PBE
PIF1	1648	Chr3	10591469	10591470	10590551	-	AT3G28340	917	PBE
PIF1	1650	Chr3	10857118	10857119	10856623	-	AT3G28857	494	PBE
PIF1	1651	Chr3	10879750	10879751	10877505	-	AT3G28860	2244	PBE
PIF1	1654	Chr3	11252701	11252702	11252807	+	AT3G29320	105	G
PIF1	1655	Chr3	11276929	11276930	11278589	+	AT3G29370	1659	PBE
PIF1	1656	Chr3	11277926	11277927	11278589	+	AT3G29370	662	PBE
PIF1	1657	Chr3	11277979	11277980	11278589	+	AT3G29370	609	PBE
PIF1	1659	Chr3	11384164	11384165	11384003	-	AT3G29575	160	G
PIF1	1660	Chr3	11386908	11386909	11384003	-	AT3G29575	2904	PBE
PIF1	1660	Chr3	11386908	11386909	11389498	+	AT3G29577	2589	PBE
PIF1	1662	Chr3	11510264	11510265	11514936	+	AT3G29648	4671	G&PBE
PIF1	1664	Chr3	11974006	11974007	11974066	+	AT3G30380	59	G
PIF1	1665	Chr3	12453987	12453988	12451247	-	AT3G30775	2739	G
PIF1	1666	Chr3	13035498	13035499	13035347	-	AT3G32030	150	G&PBE
PIF1	1666	Chr3	13035498	13035499	13035628	+	AT3G32035	129	G&PBE
PIF1	1675	Chr3	15357183	15357184	15355985	-	AT3G43431	1197	PBE
PIF1	1677	Chr3	15618288	15618289	15617148	-	AT3G43720	1139	PBE
PIF1	1678	Chr3	15775992	15775993	15775656	-	AT3G43960	335	PBE
PIF1	1681	Chr3	15985655	15985656	15986864	+	AT3G44310	1208	PBE
PIF1	1682	Chr3	15986723	15986724	15986864	+	AT3G44310	140	G
PIF1	1683	Chr3	15993277	15993278	15993379	+	AT3G44320	101	G
PIF1	1689	Chr3	16568800	16568801	16566329	-	AT3G45220	2470	G
PIF1	1689	Chr3	16568800	16568801	16569051	+	AT3G45230	250	G
PIF1	1693	Chr3	16789838	16789839	16789980	+	AT3G45730	141	PBE
PIF1	1694	Chr3	16815149	16815150	16813870	-	AT3G45775	1278	PBE
PIF1	1694	Chr3	16815149	16815150	16816866	+	AT3G45780	1716	PBE
PIF1	1696	Chr3	16912187	16912188	16910819	-	AT3G46010	1367	G
PIF1	1699	Chr3	17152609	17152610	17152775	+	AT3G46590	165	G&PBE
PIF1	1701	Chr3	17202063	17202064	17201888	-	AT3G46700	174	PBE
PIF1	1703	Chr3	17395508	17395509	17394987	-	AT3G47240	520	PBE
PIF1	1704	Chr3	17442238	17442239	17445382	+	AT3G47342	3143	PBE
PIF1	1705	Chr3	17455634	17455635	17454720	-	AT3G47370	913	G
PIF1	1705	Chr3	17455634	17455635	17457795	+	AT3G47380	2160	G
PIF1	1706	Chr3	17478542	17478543	17475257	-	AT3G47420	3284	G
PIF1	1706	Chr3	17478542	17478543	17480603	+	AT3G47430	2060	G
PIF1	1707	Chr3	17507860	17507861	17506057	-	AT3G47500	1802	G
PIF1	1707	Chr3	17507860	17507861	17511079	+	AT3G47510	3218	G
PIF1	1709	Chr3	17558081	17558082	17558849	+	AT3G47620	767	G
PIF1	1710	Chr3	17690974	17690975	17689548	-	AT3G47940	1425	G
PIF1	1710	Chr3	17690974	17690975	17692702	+	AT3G47950	1727	G
PIF1	1712	Chr3	17709781	17709782	17708908	-	AT3G47965	872	PBE
PIF1	1712	Chr3	17709781	17709782	17710374	+	AT3G47980	592	PBE
PIF1	1714	Chr3	17750548	17750549	17748735	-	AT3G48060	1812	G
PIF1	1714	Chr3	17750548	17750549	17750711	+	AT3G48070	162	G
PIF1	1715	Chr3	17862694	17862695	17858873	-	AT3G48231	3820	G
PIF1	1715	Chr3	17862694	17862695	17863754	+	AT3G48235	1059	G
PIF1	1716	Chr3	17875502	17875503	17875219	-	AT3G48260	282	G
PIF1	1716	Chr3	17875502	17875503	17876571	+	AT3G48270	1068	G
PIF1	1718	Chr3	17920373	17920374	17920815	+	AT3G48390	441	G
PIF1	1720	Chr3	18014394	18014395	18014081	-	AT3G48610	312	G
PIF1	1720	Chr3	18014394	18014395	18015983	+	AT3G48620	1588	G
PIF1	1723	Chr3	18373164	18373165	18373023	-	AT3G49570	140	G
PIF1	1727	Chr3	18477646	18477647	18476833	-	AT3G49810	812	G
PIF1	1727	Chr3	18477646	18477647	18481237	+	AT3G49820	3590	G
PIF1	1728	Chr3	18478712	18478713	18476833	-	AT3G49810	1878	PBE
PIF1	1728	Chr3	18478712	18478713	18481237	+	AT3G49820	2524	PBE
PIF1	1729	Chr3	18480443	18480444	18476833	-	AT3G49810	3609	G&PBE
PIF1	1729	Chr3	18480443	18480444	18481237	+	AT3G49820	793	G&PBE
PIF1	1734	Chr3	18518476	18518477	18522510	+	AT3G49950	4033	G
PIF1	1736	Chr3	18561598	18561599	18559105	-	AT3G50060	2492	G
PIF1	1737	Chr3	18563352	18563353	18559105	-	AT3G50060	4246	G&PBE
PIF1	1738	Chr3	18790370	18790371	18786913	-	AT3G50620	3456	G
PIF1	1738	Chr3	18790370	18790371	18791543	+	AT3G50625	1172	G
PIF1	1740	Chr3	18822014	18822015	18817243	-	AT3G50660	4770	G
PIF1	1740	Chr3	18822014	18822015	18826040	+	AT3G50665	4025	G
PIF1	1743	Chr3	18883384	18883385	18882998	-	AT3G50800	385	G
PIF1	1746	Chr3	18910053	18910054	18910990	+	AT3G50870	936	G
